Workout,Pull-ups,Dips,Squats,Rows,Push-ups
01/01/2019,4,6,12,10,8
03/01/2019,4,7,10,10,7
05/01/2019,3,8,14,12,10
08/01/2019,5,8,12,12,10
10/01/2019,5,8,12,12,10
12/01/2019,4,7,10,10,8
15/01/2019,5,9,12,12,10
16/01/2019,6,9,11,13,10
17/01/2019,5,8,12,14,10
20/01/2019,5,6,11,12,11
22/01/2019,6,8,10,11,8
24/01/2019,6,7,9,14,9
25/01/2019,7,7,7,14,7
27/01/2019,8,7,10,10,10
29/01/2019,8,9,8,8,12
01/02/2019,6,10,8,14,12
03/02/2019,8,8,14,11,8
05/02/2019,4,11,15,15,12
07/02/2019,8,8,9,14,11
10/02/2019,5,9,11,12,10
12/02/2019,5,8,15,10,12
14/02/2019,9,12,10,15,9
17/02/2019,9,7,14,11,7
19/02/2019,5,7,10,16,8
21/02/2019,10,10,14,16,11
25/02/2019,10,13,16,15,14